University,Type ,Index_faculty_number component,Index_salary component,Final_index,Year,Rank,Rank for gender,Rank for salary
Wheaton College,private,0.561875546,0.922144943,70.59833047,2015,64,66,76
Princeton University,private,0.365349105,0.921334411,58.77432272,2015,91,91,77
University of Richmond,private,0.642732366,0.915610706,75.18837019,2015,49,45,78
California Institute of Technology,private,0.228741792,0.913801804,50.27657963,2015,100,100,79
University of Rochester,private,0.482729886,0.913321022,65.49663404,2015,76,75,80
Case Western Reserve University,private,0.573961586,0.912452747,70.93580502,2015,63,63,81
Columbia University in The City Of New York,private,0.643741681,0.912105501,75.10872089,2015,50,44,82
University of Dayton,private,0.55133413,0.91073023,69.50925701,2015,70,67,83
University of Notre Dame,private,0.367818571,0.902768018,58.179835,2015,93,89,84
Babson College,private,0.529798797,0.902595512,67.89174828,2015,72,71,85
University of Tulsa,private,0.445392964,0.89970798,62.71189705,2015,84,80,86
Southern Methodist University,private,0.448323951,0.899648498,62.88537698,2015,83,79,87
New York University,private,0.594825098,0.898757982,71.63982516,2015,61,56,88
Stevens Institute of Technology,private,0.276765699,0.896881451,52.48119995,2015,98,97,89
University of Southern California,private,0.458957776,0.894602111,63.32155098,2015,81,78,90
University of Pennsylvania,private,0.400825954,0.894586685,59.83302461,2015,87,85,91
Pepperdine University,private,0.607924619,0.894556119,72.25772185,2015,59,55,92
Brigham Young University-Provo,private,0.249122626,0.89312014,50.67216314,2015,99,98,93
Duke University,private,0.576744684,0.892001873,70.28475592,2015,66,61,94
Northwestern University,private,0.514429909,0.882871223,66.18064342,2015,74,74,95
Dartmouth College,private,0.528646381,0.882083475,67.00212185,2015,73,72,96
University of Chicago,private,0.475924194,0.880467041,63.77413326,2015,79,76,97
Carnegie Mellon University,private,0.32113492,0.880351119,54.48213996,2015,96,95,98
Emory University,private,0.574171403,0.875357058,69.46456649,2015,71,62,99
Cooper Union for the Advancement of Science and Art,private,0.387844835,0.789747745,54.86059989,2015,95,86,100
University of Wisconsin Colleges,public,0.733104129,0.994307779,83.75855888,2015,4,6,1
California State University-Long Beach,public,0.72670556,0.978580756,82.74556379,2015,6,7,2
University of Oregon,public,0.626546987,0.970224513,76.40179971,2015,18,29,3
CUNY Bernard M Baruch College,public,0.639730102,0.969860445,77.17822391,2015,13,23,4
The College of New Jersey,public,0.86541079,0.967385778,90.6200785,2015,1,1,5
University of Alabama at Birmingham,public,0.636843577,0.966932542,76.88791629,2015,15,24,6
University of California-Irvine,public,0.536903704,0.965743852,70.84397632,2015,50,59,7
Miami University-Middletown,public,0.687792208,0.959883422,79.66286935,2015,8,10,8
Michigan State University,public,0.600351835,0.953294337,74.15288358,2015,31,41,9
University of Wisconsin-La Crosse,public,0.793140786,0.952894165,85.70421376,2015,2,2,10
Colorado School of Mines,public,0.234301434,0.952463593,52.15662977,2015,96,96,11
North Carolina State University at Raleigh,public,0.42182104,0.951150876,63.35529745,2015,85,88,12
Stony Brook University,public,0.618190421,0.949969885,75.09022066,2015,27,34,13
University of Massachusetts-Amherst,public,0.652537787,0.948911234,77.1087166,2015,14,17,14
University of Kentucky,public,0.495546523,0.948783379,67.6841265,2015,65,71,15
University of Arkansas,public,0.466479527,0.948714865,65.9373662,2015,76,83,16
College of William and Mary,public,0.629800818,0.947624059,75.69301141,2015,24,26,17
University of California-Riverside,public,0.492215828,0.947544029,67.43471084,2015,66,73,18
University of Delaware,public,0.643231219,0.947440581,76.4914964,2015,17,19,19
Appalachian State University,public,0.790116829,0.946743682,85.27675705,2015,3,3,20
Rutgers University-Newark,public,0.473193974,0.946723296,66.26057025,2015,72,80,21
University of Vermont,public,0.622509767,0.945149961,75.15658445,2015,26,32,22
Pennsylvania State University-Penn State Harrisburg,public,0.602419696,0.944185151,73.91258776,2015,33,40,23
University of California-Davis,public,0.522987672,0.944003629,69.1394055,2015,56,62,24
North Dakota State University-Main Campus,public,0.605022133,0.94353379,74.04267961,2015,32,39,25
University of Georgia,public,0.586320108,0.942178059,72.86632883,2015,40,44,26
